"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1uF";;;
2;"C9,C17,C15,C13,C14,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";6;"104";;;
3;"D1,D4";"D_SMA_Handsoldering";2;"1N4007";;;
4;"R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"5.6K";;;
5;"TP_3v3,TP_5v";"TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded";2;"TestPoint";;;
6;"R24,R7,R8,R15,R16,R19,RESP1,R23,R1,R22";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";10;"10k";;;
7;"H5,H6,H3,H4";"MountingHole_4.3mm_M4";4;"MountingHole";;;
8;"Varistor";"RV_Disc_D7mm_W3.4mm_P5mm";1;"7.6V Varistor";;;
9;"D6";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Relay_LED";;;
10;"Q2,Q3";"SOT-23";2;"BSS138";;;
11;"U8";"SO08";1;"24LC32";;;
12;"JP2_5v,JP_3v3";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";2;"Jumper_2_Open";;;
13;"R17,R18";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"4.7k";;;
14;"U6";"DIP-4_W7.62mm";1;"PC817";;;
15;"D5";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
16;"R26,R25";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"20k";;;
17;"R27";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"120";;;
18;"L2,L3";"INDC2012X87N";2;"MMZ2012Y152BT000";;;
19;"C18,C11";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
20;"D2";"D_2114_3652Metric";1;"SS310";;;
21;"SW2";"SW_PUSH_6mm";1;"Boot";;;
22;"R6,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1K";;;
23;"C5";"CP_Elec_8x10.5";1;"220uF/25V";;;
24;"U5";"SOP50P490X110-10N";1;"ADS1115IDGS";;;
25;"D3";"WOM";1;"D_Bridge_+-AA";;;
26;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
27;"J3";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"LCD_pins";;;
28;"L1";"L_12x12mm_H8mm";1;"100uH/1A";;;
29;"F3,F2,F1";"RXEF040S2";3;"Fuse";;;
30;"Q1";"SOT-23";1;"BC847";;;
31;"J5";"TE_1776275-3";1;"temp_sensor";;;
32;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"33uF/100V";;;
33;"U2";"TO-252-5L";1;"XL7015";;;
34;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3.3k";;;
35;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
36;"C22,C12,C19,C16,C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"0.1uF";;;
37;"U4";"BOBBIN_EE13_6_6";1;"EE13_6_6";;;
38;"RV1";"VARC2012X120N";1;"7.6V Varistor";;;
39;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Horizontal-JST 4 pin (Debug)";;;
40;"J2";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"Button_Pins";;;
41;"IC1";"SOP65P1030X265-28N";1;"ADM2561EBRNZ";;;
42;"R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k";;;
43;"K1";"Relay_SPDT_SANYOU_SRD_Series_Form_C";1;"SANYOU_SRD_Form_C";;;
44;"J7";"TE_1776275-2";1;"AC SUPPLY ";;;
45;"J8";"TE_1776275-2";1;"RS485_OP";;;
46;"SW1";"SW_PUSH_6mm";1;"RST";;;
47;"H1,H2";"MountingHole_3.2mm_M3";2;"MountingHole";;;
48;"C2";"CP_Elec_8x10.5";1;"220uF/10V";;;
49;"FB1,FB2";"BEADC1005X55N";2;"FerriteBead";;;
50;"J4";"TE_1776275-2";1;"Battery_Input";;;
51;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"100K";;;
52;"J6";"TE_1776275-3";1;"Relay_Out";;;
53;"C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"33nF";;;
54;"C7";"CP_Elec_8x10.5";1;"10uF/25V";;;
